id,first_name,second_name,position,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
1,David,Ospina,GK,0,0,2,143,4,0.0,28.8,0,0,18,2.9,0,0,0,0.2
2,Petr,Cech,GK,0,0,134,3097,37,0.1,819.8,0,2,660,82.0,12,0,2,13.7
3,Laurent,Koscielny,DEF,2,1,121,2821,37,53.9,831.2,239,19,723,112.7,10,1,4,11.2
4,Per,Mertesacker,DEF,0,0,1,38,1,0.1,17.8,0,0,5,1.8,0,0,0,0.2
5,Gabriel Armando,de Abreu,DEF,0,0,45,1517,18,84.5,295.8,119,2,296,50.0,5,0,6,0.8
6,Héctor,Bellerín,DEF,1,5,119,2503,34,508.3,437.6,395,12,569,133.8,10,0,4,13.9
7,Kieran,Gibbs,DEF,0,1,45,702,3,171.4,142.4,117,3,201,43.1,6,0,3,1.7
8,Mathieu,Debuchy,DEF,0,0,1,15,0,1.4,1.0,0,0,2,0.2,0,0,0,0.2
9,Carl,Jenkinson,DEF,0,0,2,82,1,2.0,19.4,0,0,12,2.1,0,0,0,0.1
10,Nacho,Monreal,DEF,0,3,115,3153,43,280.3,554.0,220,9,681,105.8,11,0,5,6.4
11,Calum,Chambers,DEF,2,1,83,2250,37,107.0,692.2,80,7,499,88.0,7,0,4,3.4
12,Alexis,Sánchez,MID,24,11,264,3217,41,1278.3,1357.8,1896,32,834,453.4,13,0,6,29.7
13,Theo,Walcott,MID,10,3,122,1916,26,280.5,541.8,1023,7,380,184.1,8,0,1,4.2
14,Mesut,Özil,MID,8,11,167,2841,30,1649.3,834.4,734,19,729,322.0,12,0,2,7.5
15,Santiago,Cazorla,MID,2,2,38,618,5,221.7,198.2,89,5,159,50.8,4,0,2,1.4
16,Aaron,Ramsey,MID,1,4,56,1236,20,361.2,257.2,496,3,240,111.3,4,0,3,1.1
17,Jack,Wilshere,MID,0,3,61,1950,45,544.4,308.4,321,2,312,116.8,5,0,4,0.5
18,Alex,Oxlade-Chamberlain,MID,2,7,83,1564,22,519.9,435.4,416,3,393,137.5,4,0,1,1.4
19,Serge,Gnabry,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
20,Francis,Coquelin,MID,0,1,52,1779,27,314.1,291.6,117,1,303,72.4,5,0,5,1.9
21,Alex,Iwobi,MID,3,5,89,1456,20,467.8,326.4,592,8,352,138.7,9,0,1,1.1
22,Mohamed,Elneny,MID,0,1,26,694,9,108.6,89.0,116,0,133,31.1,3,0,1,0.4
23,Joel,Campbell,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
24,Granit,Xhaka,MID,2,3,85,2483,32,626.2,488.8,193,7,506,130.8,10,2,5,3.2
25,Olivier,Giroud,FWD,12,5,116,1206,16,275.1,522.6,797,17,432,158.9,4,0,2,4.7
26,Danny,Welbeck,FWD,2,2,37,748,11,89.9,144.8,321,0,117,55.5,3,0,0,0.8
27,Yaya,Sanogo,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
28,Takuma,Asano,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
29,Artur,Boruc,GK,0,0,120,3150,63,10.0,815.4,0,7,657,82.4,9,0,2,6.2
30,Adam,Federici,GK,0,0,8,180,3,0.0,34.4,0,1,37,3.5,1,0,1,0.1
31,Simon,Francis,DEF,0,1,89,2938,54,291.2,748.2,130,7,639,117.3,10,1,4,1.4
32,Steve,Cook,DEF,2,0,112,3420,67,66.2,1123.0,391,17,777,158.2,10,0,5,3.2
33,Charlie,Daniels,DEF,4,3,134,3060,53,528.3,698.2,302,14,692,152.9,10,0,1,9.9
34,Adam,Smith,DEF,1,5,104,3101,61,509.8,566.6,242,12,645,132.1,8,0,6,7.0
35,Tyrone,Mings,DEF,0,0,4,506,16,18.3,125.4,45,2,89,18.9,0,0,0,0.0
36,Nathan,Aké,DEF,3,1,55,834,20,55.5,373.2,147,8,267,57.5,3,0,1,6.1
37,Harry,Arter,MID,1,4,84,2956,62,533.0,482.0,343,6,513,135.4,9,1,11,0.3
38,Marc,Pugh,MID,2,3,64,1329,24,304.6,238.6,290,6,224,83.3,5,0,1,0.4
39,Andrew,Surman,MID,0,1,44,1800,38,223.8,256.8,90,0,288,57.0,4,1,1,0.1
40,Eunan,O'Kane,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.3
41,Shaun,MacDonald,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
42,Junior,Stanislas,MID,7,6,107,1467,29,406.9,454.6,418,13,372,128.0,4,0,1,1.3
43,Dan,Gosling,MID,2,0,49,1366,24,181.7,254.0,168,2,254,60.5,4,0,6,0.1
44,Max,Gradel,MID,0,0,8,134,1,18.2,24.6,70,0,24,10.8,0,0,3,0.1
45,Emerson,Hyndman,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
46,Jordon,Ibe,MID,0,0,36,1055,22,268.3,113.0,235,0,133,61.5,3,0,0,1.1
47,Lewis,Cook,MID,0,2,17,432,7,89.8,100.8,28,1,81,21.8,1,0,1,0.8
48,Joshua,King,MID,16,3,178,2714,54,474.6,835.2,1007,17,553,231.6,9,0,1,19.3
49,Callum,Wilson,FWD,6,1,63,1361,25,125.7,229.0,487,2,170,82.2,6,0,0,1.1
50,Tokelo,Rantie,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.3
51,Lewis,Grabban,FWD,0,1,6,60,2,11.8,24.2,17,0,17,5.3,0,0,0,2.9
52,Benik,Afobe,FWD,6,5,88,1458,24,320.7,350.0,639,9,259,130.8,5,0,1,1.2
53,Lys,Mousset,FWD,0,1,14,270,4,39.6,27.8,109,0,22,16.1,1,0,0,0.1
54,Tom,Heaton,GK,0,0,149,3150,48,30.3,1001.6,0,21,741,103.2,10,0,1,18.6
55,Matthew,Lowton,DEF,0,2,90,3240,53,491.5,770.6,80,5,631,134.2,9,0,9,0.8
56,Ben,Mee,DEF,1,2,94,3015,49,93.7,890.0,281,6,592,126.7,9,0,5,2.2
57,Stephen,Ward,DEF,1,1,91,3230,53,409.9,644.6,128,3,596,118.3,8,0,5,1.6
58,Michael,Keane,DEF,2,1,113,3150,49,96.7,930.8,557,10,619,158.6,10,0,4,3.3
59,James,Tarkowski,DEF,0,0,23,568,11,53.4,146.2,81,0,111,27.5,1,0,1,1.8
60,Tendayi,Darikwa,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
61,David,Jones,MID,0,0,1,86,1,11.7,0.0,2,0,8,1.3,0,0,1,0.0
62,George,Boyd,MID,2,2,92,2837,45,268.4,330.6,376,2,386,97.2,9,0,3,0.2
63,Scott,Arfield,MID,1,2,69,2103,36,556.5,210.2,393,3,253,115.7,6,0,3,0.1
64,Dean,Marney,MID,1,2,51,1764,28,88.7,244.4,73,1,239,40.5,5,0,7,0.4
65,Fredrik,Ulvestad,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
66,Michael,Kightly,MID,0,0,6,104,1,9.3,2.8,4,0,20,1.5,0,0,0,0.6
67,Sam,Vokes,FWD,10,4,121,2064,34,248.1,500.0,907,12,394,164.6,5,0,0,3.2
68,Andre,Gray,FWD,9,3,108,2260,33,320.2,415.6,648,10,303,137.4,8,0,2,4.0
69,Lukas,Jutkiewicz,FWD,0,0,2,13,0,1.0,0.4,2,0,5,0.3,0,0,0,0.6
70,Ashley,Barnes,FWD,6,3,81,1774,27,277.1,328.8,663,10,241,125.5,6,1,6,4.3
71,Rouwen,Hennings,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
72,Chris,Long,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.3
73,Thibaut,Courtois,GK,0,0,141,3240,28,0.0,517.6,0,0,623,52.0,16,0,1,14.1
74,Asmir,Begovic,GK,0,0,2,180,5,0.0,13.2,0,0,17,1.3,0,0,0,0.2
75,John,Terry,DEF,1,0,21,496,9,24.3,104.6,104,0,97,23.3,1,0,1,1.9
76,Branislav,Ivanovic,DEF,0,1,23,589,9,69.4,114.6,112,2,143,29.4,1,0,2,2.7
77,César,Azpilicueta,DEF,1,5,170,3420,33,422.8,792.8,150,22,872,136.8,16,0,4,18.1
78,Gary,Cahill,DEF,6,0,178,3296,29,100.8,831.6,400,15,778,133.3,17,0,5,15.3
79,Kurt,Zouma,DEF,0,1,15,250,8,13.5,60.6,4,3,69,7.8,0,0,0,0.3
80,Abdul Rahman,Baba,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
81,Matt,Miazga,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
82,Eden,Hazard,MID,16,9,224,2985,29,1306.8,1044.6,1162,33,869,351.6,17,0,3,30.6
83,Cesc,Fàbregas,MID,5,15,121,1340,14,881.8,635.0,325,14,529,184.1,4,0,8,3.3
84,Oscar,dos Santos Emboaba Junior,MID,0,1,17,455,6,197.4,97.4,128,0,104,42.2,1,0,1,0.5
85,Juan,Cuadrado,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.5
86,Willian,Borges Da Silva,MID,8,3,114,1534,19,809.4,491.4,522,13,441,182.1,6,0,3,3.5
87,Nemanja,Matic,MID,1,8,105,2694,24,447.1,546.8,279,1,550,127.5,15,0,4,3.9
88,Ruben,Loftus-Cheek,MID,0,0,6,35,0,3.9,3.8,25,0,16,3.4,0,0,0,0.1
89,John Obi,Mikel,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
90,Pedro,Rodríguez Ledesma,MID,9,10,162,2140,15,697.9,639.0,669,18,580,198.8,15,0,6,8.5
91,Bertrand,Traore,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
92,Victor,Moses,MID,3,3,105,2485,15,456.2,528.6,683,6,476,166.7,17,0,4,2.2
93,Marco,Van Ginkel,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
94,Robert Kenedy,Nunes do Nascimento,MID,0,0,3,90,3,11.8,1.8,46,0,8,6.0,0,0,0,0.0
95,N'Golo,Kanté,MID,1,1,83,3138,33,432.8,515.4,244,1,554,119.0,13,0,9,11.7
96,Michy,Batshuayi,FWD,5,1,48,254,3,40.9,193.2,277,4,169,50.7,0,0,0,1.2
97,Diego,Da Silva Costa,FWD,20,11,196,3083,30,687.9,982.6,1891,25,657,355.0,14,0,10,32.2
98,Loïc,Remy,FWD,0,0,6,134,3,26.9,20.0,60,0,17,10.2,1,0,0,0.2
99,Julian,Speroni,GK,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.2
100,Wayne,Hennessey,GK,0,0,92,2610,46,31.1,600.4,0,4,497,63.2,7,0,1,3.1
101,Alex,McCarthy,GK,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
102,Steve,Mandanda,GK,0,0,19,810,17,0.0,182.8,0,0,120,18.2,0,0,0,1.9
103,James,Tomkins,DEF,3,0,75,1974,36,35.7,471.0,213,5,359,72.1,6,0,4,0.2
104,Scott,Dann,DEF,3,1,61,1752,36,73.1,459.0,426,4,310,96.0,2,0,2,2.1
105,Joel,Ward,DEF,0,1,86,3417,63,263.7,608.2,129,7,568,100.4,7,0,7,0.9
106,Martin,Kelly,DEF,0,2,46,2124,44,125.1,421.8,61,0,323,61.0,2,0,4,0.6
107,Damien,Delaney,DEF,0,2,51,2014,39,79.6,496.6,67,3,344,64.1,3,0,8,0.5
108,Pape,Souaré,DEF,0,0,6,270,3,33.5,53.6,9,0,37,9.7,0,0,0,0.2
109,Yannick,Bolasie,MID,1,4,45,1048,14,326.7,238.0,252,3,172,81.8,3,0,3,1.7
110,Jason,Puncheon,MID,0,6,92,3093,53,941.8,500.2,448,6,500,188.7,7,0,9,0.7
111,Wilfried,Zaha,MID,7,11,149,3019,56,606.4,740.4,865,13,481,221.2,7,0,8,11.9
112,Mile,Jedinak,MID,0,0,2,90,1,31.2,11.8,0,0,8,4.3,0,0,0,0.1
113,Joe,Ledley,MID,1,1,40,1160,26,109.9,158.2,48,1,201,31.5,2,0,1,0.4
114,James,McArthur,MID,5,3,93,1999,39,284.5,400.4,300,8,363,97.7,3,0,5,1.0
115,Jordon,Mutch,MID,0,0,4,53,1,14.1,15.6,0,0,17,3.1,0,0,0,0.3
116,Jonathan,Williams,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
117,Chung-yong,Lee,MID,0,1,24,471,13,125.0,71.2,44,0,103,23.9,2,0,0,0.3
118,Yohan,Cabaye,MID,4,4,91,2125,41,568.0,427.4,478,6,411,146.8,7,0,7,1.1
119,Bakary,Sako,MID,0,0,7,142,5,31.6,21.8,32,0,29,8.7,0,0,0,0.0
120,Andros,Townsend,MID,3,7,116,2520,38,852.4,552.4,511,16,492,191.3,7,0,4,2.2
121,Fraizer,Campbell,FWD,1,0,16,165,4,25.9,42.4,84,0,56,15.2,0,0,0,1.0
122,Connor,Wickham,FWD,2,0,18,412,6,36.2,87.6,132,0,59,25.0,0,0,1,0.3
123,Joel,Robles,GK,0,1,89,1737,20,10.0,439.2,0,5,407,44.9,10,0,2,0.9
124,Maarten,Stekelenburg,GK,0,0,68,1683,24,0.1,350.4,0,3,309,35.1,4,0,2,1.7
125,Leighton,Baines,DEF,2,5,135,2819,34,695.0,570.8,151,15,647,141.9,11,0,4,11.0
126,Seamus,Coleman,DEF,4,4,133,2316,28,308.9,596.0,297,15,548,120.3,10,0,3,4.0
127,Phil,Jagielka,DEF,3,3,104,2251,32,71.7,751.4,278,16,533,110.1,6,1,4,7.5
128,John,Stones,DEF,0,0,59,2014,29,78.0,441.4,174,4,435,69.7,4,0,1,13.3
129,Brendan,Galloway,DEF,0,0,9,247,3,18.4,33.0,25,0,44,7.5,1,0,0,0.2
130,Tyias,Browning,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2.0
131,Matthew,Pennington,DEF,1,0,9,180,6,10.7,63.8,33,0,37,10.8,0,0,0,0.9
132,Ramiro,Funes Mori,DEF,0,1,69,1543,19,64.0,346.2,129,4,365,54.0,7,0,0,1.4
133,Kevin,Mirallas,MID,4,8,119,2074,26,682.1,439.6,739,8,420,185.4,11,0,2,2.2
134,Ross,Barkley,MID,5,11,144,2900,36,1237.6,692.4,973,11,534,290.3,12,0,5,6.6
135,Tom,Cleverley,MID,0,3,55,1848,40,438.1,255.2,93,0,294,78.7,3,0,4,0.1
136,James,McCarthy,MID,1,1,23,613,10,80.4,119.8,84,0,100,28.6,0,0,2,0.2
137,Gareth,Barry,MID,2,1,68,2109,28,400.6,509.4,244,3,371,115.0,7,0,10,3.2
138,Darron,Gibson,MID,0,0,17,640,12,51.5,72.4,16,0,101,13.8,1,0,4,0.1
139,Muhamed,Besic,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
140,Bryan,Oviedo,MID,0,0,29,1323,26,155.4,250.6,37,0,223,44.4,3,0,4,0.1
141,Gerard,Deulofeu,MID,0,0,13,460,6,150.8,54.6,115,0,53,32.0,0,0,1,0.8
142,Aaron,Lennon,MID,0,1,22,509,5,93.4,78.0,54,0,104,22.3,2,0,0,0.2
143,Romelu,Lukaku,FWD,25,6,221,3266,42,701.4,1171.6,1670,33,824,354.1,13,0,3,32.2
144,Arouna,Koné,FWD,0,0,6,78,3,19.6,7.8,22,0,17,4.9,0,0,0,0.7
145,Oumar,Niasse,FWD,4,1,44,1096,30,163.0,205.8,417,3,125,76.8,2,1,3,0.4
146,Allan,McGregor,GK,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
147,Eldin,Jakupovic,GK,0,0,86,1980,36,0.3,554.2,4,7,431,55.8,5,0,0,21.9
148,Brian,Lenihan,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1.1
149,Curtis,Davies,DEF,0,2,38,2135,53,33.0,644.6,128,3,368,80.5,1,0,4,1.3
150,Michael,Dawson,DEF,3,0,46,1722,44,46.3,573.6,236,4,311,85.5,1,0,4,0.5
151,Moses,Odubajo,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
152,Andrew,Robertson,DEF,1,2,73,2736,59,352.8,502.6,100,4,488,95.6,5,0,5,1.9
153,Harry,Maguire,DEF,2,3,71,2307,53,157.2,707.6,439,5,483,130.6,4,0,5,0.8
154,Alex,Bruce,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
155,Robert,Snodgrass,MID,7,6,133,2548,56,1050.1,550.2,538,16,503,212.3,3,0,2,6.3
156,Sam,Clucas,MID,3,1,87,3186,75,344.2,482.2,405,4,509,122.5,5,1,9,0.2
157,Jake,Livermore,MID,1,1,77,2970,62,323.5,556.4,283,2,458,116.5,4,1,5,0.1
158,Ahmed,Elmohamady,MID,0,2,62,2523,63,428.6,464.4,108,1,428,99.9,3,1,3,0.2
159,Mohamed,Diamé,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
160,Tom,Huddlestone,MID,1,2,62,2025,47,300.3,344.4,130,5,348,77.6,4,1,5,0.2
161,David,Meyler,MID,1,0,33,962,23,123.6,164.6,81,0,179,37.1,2,0,2,0.2
162,Shaun,Maloney,MID,1,2,24,283,7,70.4,104.6,58,2,86,23.4,1,0,0,0.5
163,Abel,Hernández,FWD,4,4,72,1425,23,190.4,219.4,532,6,208,93.6,4,0,0,0.9
164,Adama,Diomande,FWD,2,0,42,1171,29,195.4,141.0,259,2,127,58.7,2,0,1,3.6
165,Kasper,Schmeichel,GK,0,0,109,2666,47,0.0,757.4,0,10,585,75.8,8,0,1,6.0
166,Ron-Robert,Zieler,GK,0,0,17,754,16,0.0,136.0,2,0,119,13.9,1,0,0,0.3
167,Wes,Morgan,DEF,1,1,63,2430,45,48.4,480.0,284,0,360,81.4,5,0,3,10.3
168,Christian,Fuchs,DEF,2,4,104,3103,57,536.4,802.0,152,10,679,149.4,8,0,10,5.7
169,Jeffrey,Schlupp,DEF,0,2,47,1139,17,100.4,214.2,65,4,237,38.1,3,0,0,0.3
170,Marcin,Wasilewski,DEF,0,0,1,90,2,0.3,10.8,0,0,10,1.1,0,0,0,1.8
171,Ritchie,de Laet,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
172,Danny,Simpson,DEF,0,3,85,2988,50,199.0,531.2,50,4,529,77.9,9,0,12,2.1
173,Robert,Huth,DEF,2,2,88,2926,49,69.4,701.0,477,1,479,124.9,9,0,9,1.8
174,Yohan,Benalouane,DEF,0,0,27,917,15,22.0,158.2,54,0,156,23.6,4,0,4,1.0
175,Luis,Hernández,DEF,0,0,3,327,8,62.0,57.6,0,0,50,12.0,0,0,1,0.3
176,Riyad,Mahrez,MID,6,4,120,2826,48,802.1,573.0,898,9,437,227.8,9,0,4,8.2
177,Marc,Albrighton,MID,2,6,95,2412,47,719.8,483.8,272,3,468,147.6,8,0,5,2.5
178,Andy,King,MID,1,0,41,1446,26,122.7,258.4,167,1,217,54.9,1,0,4,0.2
179,Daniel,Drinkwater,MID,1,1,69,2466,44,307.1,401.8,213,3,384,92.0,8,0,6,3.6
180,Gökhan,Inler,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
181,Demarai,Gray,MID,1,4,58,1049,20,268.8,220.4,233,0,210,72.2,4,0,2,0.5
182,Daniel,Amartey,MID,1,1,53,1673,35,204.0,254.4,109,3,262,57.0,4,0,3,0.2
183,Nampalys,Mendy,MID,0,0,6,269,5,24.9,16.8,0,0,26,4.0,1,0,1,0.3
184,Jamie,Vardy,FWD,13,8,161,2801,57,450.4,629.8,955,24,555,202.5,7,1,2,13.9
185,Leonardo,Ulloa,FWD,1,0,24,447,5,55.7,60.8,262,1,56,37.4,2,0,0,0.1
186,Shinji,Okazaki,FWD,3,1,63,1565,26,262.0,181.2,471,3,220,90.4,7,0,1,1.6
187,Ahmed,Musa,FWD,2,0,39,761,20,120.8,132.6,232,5,131,47.7,1,0,1,3.0
188,Simon,Mignolet,GK,0,0,110,2520,30,0.0,461.2,0,7,506,46.0,9,0,0,3.5
189,Loris,Karius,GK,0,0,32,900,12,0.0,149.4,0,0,153,15.0,3,0,0,0.7
190,Mamadou,Sakho,DEF,0,0,35,686,6,48.7,143.4,40,6,155,23.2,4,0,0,0.6
191,Dejan,Lovren,DEF,2,1,106,2553,31,119.2,715.4,236,6,589,107.1,11,0,6,5.6
192,Alberto,Moreno,DEF,0,1,15,305,7,78.3,64.6,32,1,79,17.5,0,0,1,1.4
193,Nathaniel,Clyne,DEF,0,2,129,3323,41,716.5,512.0,294,13,735,152.4,12,0,0,10.3
194,Jon,Flanagan,DEF,0,0,9,360,4,16.4,63.8,0,0,55,8.0,1,0,2,0.2
195,Joseph,Gomez,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
196,Connor,Randall,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1.7
197,Bradley,Smith,DEF,0,0,4,269,9,30.3,28.6,27,0,35,8.6,0,0,1,2.5
198,Kevin,Stewart,DEF,0,0,4,20,0,0.4,3.6,0,0,12,0.4,0,0,0,0.1
199,Joel,Matip,DEF,1,0,97,2457,25,143.3,588.6,348,7,557,108.0,9,0,3,3.2
200,Leiva,Lucas,MID,0,3,47,1112,17,102.9,306.4,99,2,240,51.1,4,0,4,0.2
201,Jordan,Henderson,MID,1,4,73,2116,28,554.3,507.4,93,9,467,115.5,7,0,8,1.0
202,Joe,Allen,MID,6,3,118,2930,49,539.8,576.8,675,10,525,179.4,10,0,9,6.4
203,Philippe,Coutinho,MID,13,8,171,2228,27,1081.8,860.0,1125,21,631,306.5,8,0,2,26.0
204,Emre,Can,MID,5,2,104,2371,28,544.5,512.2,500,12,436,155.3,9,0,6,3.0
205,Adam,Lallana,MID,8,7,139,2338,32,693.0,679.4,825,14,543,219.5,9,0,3,9.1
206,Lazar,Markovic,MID,2,0,37,1005,15,160.3,142.2,185,2,125,48.5,5,0,4,0.1
207,Oluwaseyi,Ojo,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
208,James,Milner,MID,7,4,139,3154,35,937.0,919.0,493,16,682,235.2,12,0,5,4.8
209,Roberto,Firmino,MID,11,11,180,3062,39,1127.3,869.6,1569,17,639,356.9,11,0,5,8.8
210,Cameron,Brannagan,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
211,Pedro,Chirivella,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
212,Sadio,Mané,MID,13,7,156,2242,26,660.7,727.0,1074,14,502,246.0,8,0,4,7.8
213,Christian,Benteke,FWD,15,2,136,3131,58,484.4,640.2,1762,13,382,286.1,7,0,10,9.5
214,Daniel,Sturridge,FWD,3,5,54,775,7,207.4,202.8,492,2,180,89.7,3,0,1,1.9
215,Mario,Balotelli,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.2
216,Danny,Ings,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.2
217,Divock,Origi,FWD,7,4,96,1469,18,264.4,360.0,551,8,297,116.1,7,0,0,5.5
218,Joe,Hart,GK,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1.0
219,Willy,Caballero,GK,0,0,64,1452,13,0.0,266.6,0,1,295,26.8,6,0,0,3.8
220,Aleksandar,Kolarov,DEF,1,1,95,2535,27,296.4,639.0,223,7,558,116.0,9,0,6,3.1
221,Pablo,Zabaleta,DEF,1,1,45,1065,18,167.7,238.6,113,5,230,52.1,2,0,2,1.2
222,Vincent,Kompany,DEF,3,0,57,820,6,32.9,249.0,123,6,227,40.6,5,0,5,3.2
