id,first_name,second_name,position,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
223,Gaël,Clichy,DEF,1,0,87,2123,24,314.8,407.4,38,9,493,76.1,8,0,2,1.9
224,Bacary,Sagna,DEF,0,1,55,1346,14,152.1,223.2,53,3,316,42.8,6,0,2,1.7
225,Eliaquim,Mangala,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.3
226,Nicolás,Otamendi,DEF,1,2,100,2592,28,125.6,772.4,276,10,640,117.6,9,0,9,3.2
227,Fabian,Delph,MID,1,0,13,224,4,42.3,68.2,43,0,62,15.3,0,0,1,0.1
228,Raheem,Sterling,MID,7,14,149,2509,27,688.3,527.0,1170,11,468,237.7,9,0,7,10.6
229,Samir,Nasri,MID,0,0,1,16,0,12.3,4.8,41,0,0,5.8,0,0,0,0.2
230,David,Silva,MID,4,9,130,2760,32,1388.4,671.2,801,12,621,286.2,12,0,6,2.8
231,Gnegneri Yaya,Touré,MID,5,0,86,1941,17,407.7,474.2,335,6,422,121.8,12,0,4,1.0
232,Jesús,Navas,MID,0,3,48,1064,17,359.9,161.0,163,6,245,68.3,2,0,2,0.6
233,Fernando,Luiz Rosa,MID,2,1,78,2755,27,575.7,546.6,364,3,483,148.5,10,2,4,1.5
234,Fernando Francisco,Reges,MID,0,0,18,568,10,65.7,115.2,29,1,106,21.0,1,0,3,0.2
235,Kevin,De Bruyne,MID,6,21,199,2877,34,1702.0,872.4,790,33,825,336.6,11,0,4,10.4
236,Ilkay,Gündogan,MID,3,1,41,704,8,209.6,186.8,199,2,196,59.6,3,0,0,1.3
237,Manuel,Agudo Durán,MID,4,3,54,777,7,238.4,210.0,411,2,170,85.6,3,1,3,1.0
238,Oleksandr,Zinchenko,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
239,Sergio,Agüero,FWD,20,5,175,2404,30,518.2,871.8,1853,32,640,323.9,8,1,4,17.6
240,Wilfried,Bony,FWD,2,0,29,684,12,116.9,103.0,271,3,92,49.0,3,0,1,0.6
241,Kelechi,Iheanacho,FWD,4,3,52,537,9,193.7,224.0,463,6,180,87.4,1,0,0,2.3
242,David,de Gea,GK,0,0,136,3150,29,10.0,542.4,0,5,575,55.0,14,0,2,33.2
243,Sergio,Romero,GK,0,0,23,180,0,0.0,77.2,0,3,80,7.7,2,0,0,0.2
244,Chris,Smalling,DEF,1,1,52,1217,16,36.1,342.6,95,1,282,47.4,4,0,0,1.1
245,Phil,Jones,DEF,0,0,55,1584,14,35.2,437.8,89,4,362,56.3,5,0,2,0.7
246,Guillermo,Varela,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
247,Luke,Shaw,DEF,0,3,45,688,6,160.5,139.2,64,4,202,36.5,4,0,1,6.4
248,Marcos,Rojo,DEF,1,0,77,1663,13,71.0,446.4,147,7,394,66.5,8,0,5,0.7
249,Patrick,McNair,DEF,0,0,12,353,9,51.1,30.6,28,0,58,10.7,1,0,0,0.2
250,Antonio,Valencia,DEF,1,3,120,2483,20,614.8,547.2,243,9,612,140.6,12,0,5,12.4
251,Matteo,Darmian,DEF,0,0,70,1333,8,74.0,206.0,13,6,319,29.4,9,0,3,1.0
252,Cameron,Borthwick-Jackson,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
253,Timothy,Fosu-Mensah,DEF,0,0,9,97,0,2.9,12.8,8,0,36,2.4,1,0,0,0.2
254,Daley,Blind,DEF,1,2,98,1830,17,426.6,534.0,122,14,525,108.2,9,0,2,4.7
255,Eric,Bailly,DEF,0,0,105,2058,15,31.0,481.2,98,14,542,61.2,13,0,4,8.3
256,Juan,Mata,MID,6,3,102,1614,16,747.5,457.6,598,14,457,179.9,10,0,3,2.0
257,Marouane,Fellaini,MID,1,0,48,1604,14,281.9,299.0,333,0,259,90.9,10,1,8,0.3
258,Memphis,Depay,MID,0,0,3,24,1,1.8,1.2,4,0,6,0.7,0,0,1,0.2
259,Michael,Carrick,MID,0,0,42,1601,14,209.3,288.0,48,0,297,54.5,5,0,2,1.7
260,Ashley,Young,MID,0,1,26,760,6,167.0,147.4,61,1,154,37.6,4,0,2,0.1
261,Adnan,Januzaj,MID,0,3,49,1628,38,470.8,226.2,364,0,158,106.4,3,1,3,0.5
262,Ander,Herrera,MID,1,6,97,2465,18,720.8,593.2,276,11,559,159.2,13,1,5,2.2
263,Andreas,Pereira,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
264,Morgan,Schneiderlin,MID,1,0,37,1073,14,112.3,216.2,90,1,214,42.0,5,0,2,0.4
265,Bastian,Schweinsteiger,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
266,Jesse,Lingard,MID,1,3,60,1360,12,522.3,229.4,439,3,227,118.0,7,0,3,0.8
267,Anthony,Martial,MID,4,6,95,1553,13,399.1,382.8,579,9,302,136.2,9,0,2,2.5
268,Henrikh,Mkhitaryan,MID,4,1,73,1348,8,512.2,325.8,427,3,279,126.2,10,0,1,2.1
269,Wayne,Rooney,FWD,5,5,76,1540,16,593.8,394.2,616,9,322,160.2,6,0,8,2.4
270,James,Wilson,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
271,Marcus,Rashford,FWD,5,3,76,1712,15,411.4,316.2,734,2,287,145.5,7,0,3,10.6
272,Zlatan,Ibrahimovic,FWD,17,7,163,2438,22,775.0,807.8,1694,28,540,327.3,11,0,7,22.8
273,Dimitrios,Konstantopoulos,GK,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
274,Víctor,Valdés,GK,0,0,102,2520,36,0.3,607.6,2,10,493,61.0,8,0,1,4.3
275,Daniel,Ayala,DEF,1,0,31,918,16,10.4,220.8,166,0,174,39.8,3,0,3,0.1
276,George,Friend,DEF,0,3,59,1964,35,169.1,436.0,213,6,371,82.0,4,0,4,1.8
277,Dael,Fry,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.5
278,Ben,Gibson,DEF,1,1,121,3420,53,55.7,818.4,248,14,682,112.2,11,0,4,8.8
279,Emilio,Nsue Lopez,DEF,0,0,10,320,5,31.9,47.6,38,0,49,11.9,1,0,0,0.2
280,Bernardo,Espinosa Zúñiga,DEF,0,0,35,975,13,10.0,224.8,39,3,198,27.4,4,0,2,0.1
281,Albert,Adomah,MID,0,0,3,122,2,20.5,8.4,33,0,6,6.0,0,0,0,0.0
282,Stewart,Downing,MID,1,3,77,2214,39,566.9,324.6,283,3,364,117.7,7,0,1,0.4
283,Adam,Clayton,MID,0,2,70,2804,45,323.3,454.6,71,0,427,84.8,10,0,10,0.8
284,Grant,Leadbitter,MID,1,0,28,710,12,139.9,93.4,88,1,125,31.9,3,0,1,0.0
285,Adam,Reach,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
286,Adam,Forshaw,MID,0,2,77,2695,36,511.6,275.6,240,3,401,102.5,9,0,4,0.4
287,Carlos,De Pena,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.2
288,Julien,de Sart,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
289,Viktor,Fischer,MID,0,3,25,438,6,121.7,82.6,165,0,91,37.0,1,0,0,0.2
290,Marten,de Roon,MID,4,1,91,2773,44,245.8,370.6,390,5,399,100.1,8,0,8,1.8
291,David,Nugent,FWD,0,0,4,43,0,3.3,3.4,2,0,11,0.7,0,0,0,0.2
292,Jordan,Rhodes,FWD,0,0,8,211,2,28.0,21.6,104,0,21,15.4,0,0,0,0.2
293,Cristhian,Stuani,FWD,4,0,54,1355,15,132.4,224.0,430,4,203,78.3,4,0,4,2.4
294,Fraser,Forster,GK,0,0,134,3420,48,10.0,553.6,0,4,625,56.4,14,0,3,5.0
295,Paulo,Gazzaniga,GK,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
296,Ryan,Bertrand,DEF,2,5,123,2507,36,442.4,517.4,255,9,575,121.5,12,0,3,3.9
297,Jose,Fonte,DEF,0,0,98,2934,46,128.0,654.4,221,10,592,100.2,11,0,4,3.2
298,Maya,Yoshida,DEF,1,1,78,2070,32,62.8,532.6,277,8,469,87.5,7,0,2,5.9
299,Matt,Targett,DEF,0,0,12,373,4,87.9,64.6,12,0,80,16.5,1,0,0,0.2
300,Florin,Gardos,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
301,Cédric,Soares,DEF,0,3,102,2515,36,648.9,591.0,155,11,584,139.6,11,0,7,2.7
302,Cuco,Martina,DEF,0,0,31,592,6,114.7,94.2,20,5,140,22.7,3,0,0,0.4
303,Virgil,van Dijk,DEF,1,0,75,1852,23,81.1,546.2,232,14,435,86.0,7,1,3,5.3
304,Nathan,Redmond,MID,7,1,126,2898,40,880.3,545.6,1021,13,483,243.8,12,1,2,7.4
305,Steven,Davis,MID,0,3,77,2643,37,573.0,437.6,379,0,450,138.9,10,0,3,0.5
306,James,Ward-Prowse,MID,4,4,92,1883,26,729.1,427.4,448,5,377,160.7,9,0,4,1.4
307,Harrison,Reed,MID,0,0,3,64,1,1.4,11.0,0,0,16,1.3,0,0,0,0.1
308,Dusan,Tadic,MID,3,7,108,2411,29,1144.1,455.4,819,4,376,242.0,13,0,4,2.0
309,Jordy,Clasie,MID,1,1,38,1022,15,129.1,122.4,94,3,157,33.3,2,0,3,0.1
310,Oriol,Romeu Vidal,MID,1,0,80,3071,42,280.5,585.6,240,4,566,110.7,13,0,11,0.8
311,Jay,Rodriguez,MID,5,2,73,893,15,132.8,255.2,507,8,170,89.4,3,0,0,0.3
312,Pierre-Emile,Højbjerg,MID,0,0,38,1300,16,305.0,222.0,216,0,232,74.1,6,0,2,1.6
313,Shane,Long,FWD,3,2,57,1262,23,231.6,201.6,584,2,159,100.1,2,0,2,3.0
314,Charlie,Austin,FWD,6,1,62,934,8,134.3,274.2,573,10,218,97.9,6,0,1,1.8
315,Shay,Given,GK,0,0,13,450,14,0.0,144.8,0,3,92,14.4,0,0,1,0.4
316,Jack,Butland,GK,0,0,20,450,8,0.0,121.8,0,2,104,12.2,2,0,0,0.9
317,Jakob,Haugaard,GK,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
318,Ryan,Shawcross,DEF,1,2,94,3150,53,65.3,732.2,395,6,549,119.3,9,0,6,1.7
319,Marc,Wilson,DEF,0,0,0,255,7,34.5,63.0,5,0,29,10.3,0,0,3,2.3
320,Geoff,Cameron,DEF,0,1,58,1629,25,165.0,354.4,174,5,340,69.6,6,0,1,0.4
321,Erik,Pieters,DEF,0,2,103,3151,50,353.8,583.2,130,9,614,107.1,10,0,5,6.7
322,Marc,Muniesa,DEF,1,0,34,650,7,59.7,172.4,50,3,153,28.2,3,0,2,0.8
323,Phil,Bardsley,DEF,0,0,27,1168,17,146.7,155.0,51,0,174,35.4,3,1,4,0.1
324,Philipp,Wollscheid,DEF,0,0,1,180,5,3.4,36.4,10,0,23,5.0,0,0,1,0.2
325,Glen,Johnson,DEF,0,0,56,1957,34,176.1,350.0,101,3,376,62.8,6,0,1,0.1
326,Dionatan do Nascimento,Teixeira,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.4
327,Stephen,Ireland,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
328,Charlie,Adam,MID,1,4,59,1491,23,477.6,263.4,328,5,218,106.7,6,0,7,0.3
329,Glenn,Whelan,MID,0,1,62,2276,40,336.6,392.6,41,3,380,77.0,7,0,5,0.7
330,Jonathan,Walters,MID,4,3,72,1304,22,198.7,294.0,487,3,195,98.0,6,0,1,0.1
331,Marko,Arnautovic,MID,6,7,117,2713,43,768.7,530.4,861,8,401,216.2,9,1,9,1.0
332,Ibrahim,Afellay,MID,0,0,15,384,5,55.2,32.0,63,0,63,14.8,0,0,0,0.0
333,Xherdan,Shaqiri,MID,4,2,80,1699,21,672.9,293.6,453,8,275,141.6,8,0,2,3.0
334,Giannelli,Imbula,MID,0,1,24,796,20,111.3,65.0,44,1,126,22.0,2,0,1,0.1
335,Bojan,Krkic,MID,3,0,30,475,12,84.5,125.4,114,4,93,32.1,0,0,1,0.7
336,Peter,Crouch,FWD,7,3,79,1343,23,260.9,346.6,664,7,262,126.8,4,0,3,3.4
337,Mame Biram,Diouf,FWD,1,2,51,1385,26,148.6,198.0,340,2,190,68.4,5,0,3,0.3
338,Jose Luis,Mato Sanmartín,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
339,Vito,Mannone,GK,0,0,34,810,19,0.0,247.0,0,6,187,24.8,2,0,0,0.6
340,Jordan,Pickford,GK,0,0,102,2610,50,40.0,933.0,0,9,608,97.4,4,0,0,11.0
341,Younes,Kaboul,DEF,2,0,57,1910,36,31.5,443.2,243,1,342,71.8,4,0,2,0.6
342,John,O'Shea,DEF,0,1,47,2158,42,21.3,453.4,98,3,335,57.0,3,0,5,0.4
343,Billy,Jones,DEF,1,0,56,2270,49,387.5,476.8,270,6,368,113.5,5,0,8,0.1
344,Patrick,van Aanholt,DEF,5,1,98,2498,53,534.2,616.0,383,9,534,153.5,5,0,3,3.6
345,Adam,Matthews,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
346,Lamine,Koné,DEF,1,0,69,2545,46,35.6,624.0,339,5,451,100.2,5,0,4,1.7
347,Jan,Kirchhoff,MID,0,1,12,433,11,30.1,53.6,26,0,61,10.9,0,0,1,0.0
348,Lee,Cattermole,MID,0,0,12,633,13,47.3,65.0,12,0,63,12.6,0,0,4,0.1
349,Sebastian,Larsson,MID,0,3,40,1468,35,402.5,206.0,109,0,219,71.4,3,1,4,0.0
350,Jack,Rodwell,MID,0,1,38,1492,32,131.0,235.0,233,1,200,60.0,2,0,4,0.6
351,Jeremain,Lens,MID,0,0,2,69,1,31.3,14.2,52,0,12,9.7,0,0,0,0.0
352,Wahbi,Khazri,MID,1,0,31,849,21,332.2,112.2,203,3,96,64.9,1,0,6,0.1
353,Duncan,Watmore,MID,0,5,43,1025,20,159.7,118.6,241,1,125,51.4,2,0,1,0.1
354,Fabio,Borini,FWD,2,0,49,1742,34,257.3,217.0,406,3,177,87.4,5,0,5,0.6
355,Jermain,Defoe,FWD,15,3,166,3322,63,274.5,630.4,1379,24,529,227.0,6,0,1,16.1
356,Lukasz,Fabianski,GK,0,0,116,3330,69,0.1,780.4,0,8,650,78.1,8,0,1,3.6
357,Kristoffer,Nordfeldt,GK,0,0,3,90,1,0.0,24.8,0,0,12,2.5,0,0,0,3.4
358,Kyle,Naughton,DEF,1,0,82,2714,48,407.5,589.0,216,7,528,121.3,8,0,5,2.1
359,Ashley,Williams,DEF,1,3,127,3160,40,119.1,927.6,289,9,739,133.9,13,1,7,8.7
360,Neil,Taylor,DEF,0,1,22,920,26,84.1,149.2,12,0,160,24.6,2,0,1,0.1
361,Angel,Rangel,DEF,1,0,26,831,24,122.7,221.8,54,1,190,40.0,1,0,1,0.2
362,Jordi,Amat,DEF,0,0,21,1409,36,29.2,332.2,106,0,237,46.8,2,0,5,7.4
363,Federico,Fernández,DEF,0,1,63,2430,41,38.2,579.4,206,4,435,82.9,6,0,7,1.9
364,Franck,Tabanou,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
365,Stephen,Kingsley,DEF,0,0,29,1036,20,106.8,140.2,15,2,192,26.2,3,0,0,8.9
366,Mike,van der Hoorn,DEF,1,0,16,662,20,1.2,191.6,50,0,125,24.3,1,0,1,0.2
367,Jack,Cork,MID,0,1,50,2232,51,222.0,331.2,168,0,348,71.6,3,0,7,0.1
368,Gylfi,Sigurdsson,MID,9,13,181,3327,70,1302.7,905.4,1074,18,684,328.3,7,0,2,10.8
369,Wayne,Routledge,MID,3,2,74,1917,42,428.5,273.2,355,2,228,105.5,5,0,1,0.3
370,Leon,Britton,MID,0,0,32,1163,24,72.8,127.8,10,0,200,21.2,5,0,3,0.1
371,Jay,Fulton,MID,0,0,19,690,15,53.3,85.4,47,0,92,18.7,3,0,2,0.0
372,Sung-yueng,Ki,MID,0,1,41,1291,28,210.9,160.4,77,0,220,44.4,4,0,3,0.1
373,Jefferson,Montero,MID,0,1,18,380,9,134.3,82.4,99,0,76,31.5,0,0,0,0.1
374,André,Ayew,MID,6,3,89,1439,25,233.4,324.4,505,5,257,105.6,6,0,1,1.0
375,Leroy,Fer,MID,6,2,95,2405,49,333.9,507.6,443,5,429,128.3,4,0,9,4.6
376,Nathan,Dyer,MID,0,1,12,214,11,57.5,40.0,48,0,47,14.6,0,0,0,0.1
377,Bafétimbi,Gomis,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
378,Marvin,Emnes,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.3
379,Modou,Barrow,FWD,0,2,34,1145,23,332.7,153.6,223,0,136,70.5,4,0,1,0.6
380,Hugo,Lloris,GK,0,0,143,3004,24,20.0,664.6,2,6,665,68.7,15,0,0,7.9
381,Michel,Vorm,GK,0,0,17,416,2,0.0,70.4,0,0,81,6.9,2,0,0,0.3
382,Toby,Alderweireld,DEF,1,0,120,2601,17,102.2,618.4,363,4,611,108.6,14,0,1,9.6
383,Danny,Rose,DEF,2,3,84,1530,11,371.5,387.4,237,6,357,99.6,8,0,8,4.3
384,Kyle,Walker,DEF,0,6,142,2701,21,570.5,564.0,264,18,640,140.2,14,0,8,27.6
385,Jan,Vertonghen,DEF,0,0,126,2894,21,121.1,790.8,138,8,733,105.1,15,0,5,7.7
386,Ben,Davies,DEF,1,3,90,1739,13,449.6,452.0,156,5,443,105.8,8,0,1,5.2
387,Kieran,Trippier,DEF,0,5,51,568,3,185.6,183.8,35,7,202,40.6,3,0,1,0.4
388,Kevin,Wimmer,DEF,0,0,2,357,4,14.4,39.4,0,0,26,5.4,0,0,3,0.1
389,DeAndre,Yedlin,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.2
390,Eric,Dier,MID,2,0,93,3043,24,223.8,663.6,315,4,505,120.7,16,0,6,5.1
391,Mousa,Dembélé,MID,1,2,76,2056,17,409.7,407.2,121,6,456,94.2,11,0,5,0.5
392,Nacer,Chadli,MID,5,6,110,2135,32,538.8,412.0,543,8,359,148.7,6,0,2,1.4
393,Erik,Lamela,MID,1,1,28,595,2,275.2,121.8,225,4,93,62.2,4,0,1,3.3
394,Christian,Eriksen,MID,8,20,218,3159,24,1679.2,974.6,1244,30,798,389.7,16,0,0,17.9
395,Nabil,Bentaleb,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
396,Ryan,Mason,MID,1,0,26,927,27,149.6,116.0,137,0,126,39.8,0,0,4,0.0
397,Tom,Carroll,MID,1,2,52,1389,18,268.2,253.8,86,4,243,61.0,5,0,1,2.6
398,Bamidele,Alli,MID,18,11,225,3036,22,778.7,969.6,1270,17,679,301.7,17,0,4,32.3
399,Joshua,Onomah,MID,0,0,5,22,0,4.4,7.4,18,0,17,3.0,0,0,0,0.1
400,Victor,Wanyama,MID,4,2,103,3012,25,486.0,609.6,480,7,578,157.7,12,0,10,2.9
401,Alex,Pritchard,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
402,Heung-Min,Son,MID,14,9,174,2063,18,642.3,753.4,1161,13,512,255.6,10,0,2,11.0
403,Harry,Kane,FWD,29,7,224,2523,19,548.4,1279.0,1530,33,920,336.0,14,0,3,23.3
404,Clinton,N'Jie,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
405,Vincent,Janssen,FWD,2,3,55,845,8,241.3,158.0,501,3,134,89.4,3,0,0,0.8
406,Costel,Pantilimon,GK,0,0,2,83,4,0.0,41.6,0,0,20,4.1,0,0,0,0.4
407,Heurelho,Gomes,GK,0,0,113,3337,64,10.0,834.4,0,6,681,84.4,7,0,1,1.7
408,Craig,Cathcart,DEF,0,1,31,1162,21,61.7,225.2,45,3,183,33.2,2,0,3,0.2
409,Sebastian,Prödl,DEF,1,2,67,2770,49,111.3,624.0,302,3,441,103.8,5,1,10,0.8
410,Juan Carlos,Paredes,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,3.8
411,José,Holebas,DEF,2,4,87,2905,61,567.6,666.8,211,9,547,144.6,7,0,14,3.0
412,Allan-Roméo,Nyom,DEF,0,2,74,2638,39,214.3,461.0,109,6,419,78.3,5,0,8,1.3
413,Miguel,Britos,DEF,1,2,71,2280,36,96.7,531.2,280,8,413,90.9,6,2,6,0.7
414,Christian,Kabasele,DEF,2,0,35,771,15,49.1,200.4,166,1,143,41.7,1,0,1,0.0
415,Adlène,Guédioura,MID,0,1,26,861,20,169.2,123.6,100,0,131,38.7,0,0,2,0.1
416,Etienne,Capoue,MID,7,2,131,3204,60,696.8,577.6,513,14,544,178.7,7,0,5,22.9
417,Almen,Abdi,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
418,Ben,Watson,MID,0,0,1,54,2,1.3,5.6,0,0,6,0.6,0,1,0,0.6
419,Ikechi,Anya,MID,0,0,1,10,0,0.0,0.0,0,0,3,0.0,0,0,0,0.0
420,Valon,Behrami,MID,0,0,48,2030,39,101.9,208.2,24,0,258,33.6,5,0,7,0.2
421,Steven,Berghuis,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
422,Nordin,Amrabat,MID,0,3,65,2091,51,494.3,282.4,368,5,263,113.9,4,0,4,0.1
423,Mario,Suárez,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
424,Isaac,Success,MID,1,1,28,519,9,96.7,146.2,225,0,87,46.8,1,0,2,0.0
425,Troy,Deeney,FWD,10,4,130,2944,52,555.9,617.4,900,18,441,206.8,6,0,7,4.8
426,Odion,Ighalo,FWD,1,1,39,1291,29,173.8,93.6,440,2,84,70.0,2,0,1,2.4
427,Mamadou Obbi,Oularé,FWD,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
428,Jerome,Sinclair,FWD,0,0,6,116,1,14.3,1.0,22,0,11,3.5,0,0,0,0.2
429,Boaz,Myhill,GK,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.4
430,Ben,Foster,GK,0,0,113,3420,51,20.3,767.0,5,4,629,79.5,6,0,2,12.6
431,Jonny,Evans,DEF,2,1,79,2637,39,117.5,626.6,259,7,478,100.6,4,0,8,4.1
432,Jonas,Olsson,DEF,0,0,8,590,13,1.1,96.4,21,0,60,12.0,1,0,3,0.5
433,Craig,Dawson,DEF,4,0,102,3276,50,317.1,742.4,418,6,500,147.9,6,0,10,2.5
434,Sébastien,Pocognoli,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.2
435,Cristian,Gamboa,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.4
436,Gareth,McAuley,DEF,6,1,131,3140,45,74.3,913.8,367,14,576,135.4,7,0,5,24.7
437,James,Chester,DEF,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0
438,Chris,Brunt,DEF,3,4,99,2477,37,674.5,509.4,340,11,462,153.1,4,0,5,2.3
439,Darren,Fletcher,MID,2,3,103,3231,45,362.3,393.2,260,2,453,101.2,8,0,0,8.1
440,Craig,Gardner,MID,0,1,14,218,6,137.9,35.4,11,0,52,18.3,1,0,1,0.1
441,James,Morrison,MID,5,2,84,1741,22,348.9,351.0,237,4,328,93.7,4,0,3,1.1
442,Claudio,Yacob,MID,0,0,54,2418,36,108.5,346.0,33,0,366,49.0,4,0,9,0.2
443,Callum,McManaman,MID,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1
444,James,McClean,MID,1,3,52,1477,24,331.3,288.6,360,1,236,98.2,2,0,9,0.1
445,Jonathan,Leko,MID,0,1,12,118,3,29.9,27.4,20,0,38,7.6,0,0,0,0.5
